Temperature ( C) , Humidity ( %) , Light ( lx) , Battery ( %) , Solar Panel ( V) , Carbon Monxide ( kOhm) , Nitrogen Dioxide ( kOhm) , Noise ( dB) , UTC
15.40,62.00,4540.80,72.50,0.00,457.85,1.26,73.31,2016-01-21 13:15:15
16.70,61.10,4540.80,79.30,0.00,553.90,1.08,81.24,2016-01-21 13:15:45
16.50,60.80,4540.80,79.80,0.00,647.14,1.09,81.17,2016-01-21 13:16:15
16.50,59.30,4540.80,80.80,0.00,665.18,1.27,81.26,2016-01-21 13:16:45
16.60,58.50,4540.80,80.50,0.00,681.27,1.43,81.26,2016-01-21 13:17:15
16.90,57.90,4540.80,81.10,0.00,700.91,1.60,81.27,2016-01-21 13:17:46
17.30,58.00,4540.80,81.10,0.00,702.13,1.75,81.59,2016-01-21 13:18:16
17.50,56.40,4540.80,81.70,0.00,701.21,1.92,81.41,2016-01-21 13:18:46
17.60,55.90,4540.80,81.70,0.00,701.70,2.06,81.40,2016-01-21 13:19:16
18.00,55.30,4540.80,81.60,0.00,700.22,2.21,81.31,2016-01-21 13:19:51
18.30,54.60,4540.80,74.30,0.00,756.08,2.45,1.00,2016-01-21 13:20:34
18.20,54.00,4540.80,74.00,0.00,755.73,2.73,1.00,2016-01-21 13:21:04
18.30,53.90,4540.80,73.30,0.00,740.31,2.48,1.00,2016-01-21 13:21:34
18.30,53.70,4540.80,73.20,0.00,731.02,2.56,1.00,2016-01-21 13:22:04
18.20,53.70,4540.80,73.10,0.00,732.00,2.72,1.00,2016-01-21 13:22:34
18.20,53.80,4540.80,73.20,0.00,731.04,2.89,1.00,2016-01-21 13:23:04
18.20,53.90,4540.80,73.20,0.00,731.00,3.15,1.00,2016-01-21 13:23:34
18.10,54.00,4540.80,72.80,0.00,730.96,3.34,1.00,2016-01-21 13:24:04
18.10,54.00,4540.80,72.80,0.00,730.96,3.49,1.00,2016-01-21 13:24:34
18.10,54.10,4540.80,72.80,0.00,731.00,3.63,1.00,2016-01-21 13:25:04
18.00,54.20,4540.80,72.80,0.00,723.46,3.82,1.00,2016-01-21 13:25:35
18.00,54.20,4540.80,72.80,0.00,722.65,3.97,1.00,2016-01-21 13:26:05
18.10,54.20,4540.80,72.40,0.00,722.67,4.09,1.00,2016-01-21 13:26:35
18.10,54.10,4540.80,72.40,0.00,714.66,4.22,1.00,2016-01-21 13:27:05
18.20,54.00,4540.80,72.40,0.00,714.64,4.34,1.00,2016-01-21 13:27:35
18.20,53.90,4540.80,72.40,0.00,714.64,4.47,1.00,2016-01-21 13:28:05
18.20,53.80,4540.80,72.40,0.00,714.64,4.65,1.00,2016-01-21 13:28:35
18.20,53.90,4540.80,72.40,0.00,706.67,4.76,1.00,2016-01-21 13:29:05
18.20,53.90,4540.80,72.40,0.00,706.73,4.88,1.00,2016-01-21 13:29:35
18.20,53.90,4540.80,72.40,0.00,706.67,5.00,1.00,2016-01-21 13:30:05
18.30,53.80,4540.80,72.00,0.00,699.47,5.10,1.00,2016-01-21 13:30:35
18.30,53.80,4540.80,72.00,0.00,698.90,5.22,71.12,2016-01-21 13:31:05
18.40,53.60,4540.80,72.00,0.00,698.88,5.38,1.00,2016-01-21 13:31:36
18.50,53.40,4540.80,72.00,0.00,691.15,5.47,1.00,2016-01-21 13:32:06
18.50,53.40,4540.80,72.00,0.00,691.23,5.57,1.00,2016-01-21 13:32:36
18.50,53.40,4540.80,72.00,0.00,691.11,5.68,1.00,2016-01-21 13:33:06
18.50,53.40,4540.80,72.00,0.00,689.00,5.80,1.00,2016-01-21 13:33:36
18.40,53.50,4540.80,72.00,0.00,683.71,5.88,1.00,2016-01-21 13:34:06
18.50,53.40,4540.80,72.00,0.00,683.75,5.99,1.00,2016-01-21 13:34:36
18.60,53.20,4540.80,72.00,0.00,683.84,6.16,1.00,2016-01-21 13:35:06
18.70,53.00,4540.80,72.00,0.00,683.63,6.25,1.00,2016-01-21 13:35:36
18.70,53.00,4540.80,71.60,0.00,676.36,6.34,1.00,2016-01-21 13:36:06
18.60,53.20,4540.80,71.50,0.00,676.46,6.43,1.00,2016-01-21 13:36:36
18.60,53.20,4540.80,71.60,0.00,676.31,6.53,1.00,2016-01-21 13:37:06
18.60,53.30,4540.80,71.50,0.00,669.21,6.62,1.00,2016-01-21 13:37:36
18.60,53.30,4540.80,71.50,0.00,669.25,6.72,1.00,2016-01-21 13:38:06
18.70,53.10,4540.80,71.50,0.00,669.21,6.82,1.00,2016-01-21 13:38:37
18.70,53.10,4540.80,71.60,0.00,669.12,6.91,1.00,2016-01-21 13:39:07
18.70,53.10,4540.80,71.50,0.00,669.21,6.98,1.00,2016-01-21 13:39:37
18.70,53.20,4540.80,71.60,0.00,662.14,7.08,1.00,2016-01-21 13:40:07
18.60,53.20,4540.80,71.60,0.00,662.10,7.15,1.00,2016-01-21 13:40:37
18.60,53.20,4540.80,71.60,0.00,662.10,7.25,1.00,2016-01-21 13:41:07
18.70,53.10,4540.80,71.60,0.00,662.10,7.32,1.00,2016-01-21 13:41:37
18.80,53.00,4540.80,71.50,0.00,655.28,7.40,1.00,2016-01-21 13:42:07
18.80,52.90,4540.80,71.50,0.00,655.77,7.51,1.00,2016-01-21 13:42:37
18.90,52.80,4540.80,71.60,0.00,655.21,7.58,1.00,2016-01-21 13:43:07
18.90,52.80,4540.80,71.60,0.00,655.17,7.73,1.00,2016-01-21 13:43:37
18.90,52.80,4540.80,71.50,0.00,648.48,7.76,1.00,2016-01-21 13:44:07
18.90,52.70,4540.80,71.10,0.00,648.44,7.84,1.00,2016-01-21 13:44:38
19.00,52.60,4540.80,71.10,0.00,648.42,7.92,1.00,2016-01-21 13:45:08
19.00,52.50,4540.80,71.20,0.00,648.39,7.99,1.00,2016-01-21 13:45:38
19.00,52.60,4540.80,71.20,0.00,641.67,8.07,1.00,2016-01-21 13:46:08
19.00,52.50,4540.80,71.20,0.00,641.71,8.15,1.00,2016-01-21 13:46:38
19.00,52.50,4540.80,71.10,0.00,641.78,8.23,1.00,2016-01-21 13:47:08
19.10,52.40,4540.80,71.10,0.00,641.74,8.31,1.00,2016-01-21 13:47:38
19.10,52.40,4540.80,71.10,0.00,636.45,8.39,1.00,2016-01-21 13:48:08
19.00,52.40,4540.80,71.20,0.00,640.32,8.50,1.00,2016-01-21 13:48:38
19.10,52.50,4540.80,71.20,0.00,635.07,8.54,29.96,2016-01-21 13:49:08
